sha256,modify num,add_edge,rewiring,add_node,delete_node,node num,edge num
0009549981D5005D2009B6982B13298095121A798EDF2A9A1F14D0ECF0814F55,8,1,0,0,7,656,2478
005E0AE1B1073FA36CD2853C2F5E8A45C9E9C47104143EBEAF82361579DBA225,8,1,0,0,7,1116,3408
012DFFFB5E70B8B7CCDC10680887E2E2FE769C9DBC17E82D4EE5DED8720F1AE2,1,0,0,1,0,4377,19821
01477A8F5ED10233CBD60F9A35128D8FD240EC3305195748B1EE91B83DB62849,9,0,0,9,0,2394,11178
01607AD78DCEEBC7E335EF1BFB698EFE3EC4DD129BA9200155E06F8C143A5566,10,0,1,9,0,1435,6192
01DB0DD1202ED2341BD3FEBFDC4EDC956263968CB5283EE79B7806D37B85B57E,22,19,0,2,1,2810,9957
02423FBF944109F3892E5E8A011289F2E07567057D3D38A01491F452EC594889,14,0,0,0,14,1049,2892
024E9E8F87E66D759E074261E5887D3EF37D2F0663B97D3A399B30A1B88B24CE,38,2,6,3,27,1597,7580
02C44C609B9FFAE2CD30B0DF8DF4F51D1678022B02641CF9678FDB957CDD09F2,3,0,0,3,0,1203,3183
02D2BC9DEB53108EA50E9DFBA4DA71F6E64B6B0C4FCFFE5E8D20B37F6469A66A,2,0,0,2,0,1018,3516
02D2DAE96415CACF661C8EF8E25222E38B323C21C19A436694A76DF099AAAACE,3,0,0,3,0,1581,6044
02D69C058E538E7F87E2ADA102EA3988274F7142050B6D75C6575BBBD1BEF292,1,1,0,0,0,1547,7735
02E85344F72C624C38AF916A58376378189CAEAC8153835E830CBAF290DE6A92,1,0,0,1,0,1996,8470
02FE0CD79C453B79C0EACDCF6B1FC82635CC18C7C04B5F49019A4C5CE481704B,5,0,0,0,5,1603,5118
035CCA177382F722B162BE9E2DEADF306A175F943D57B10FAA6B895A79021B32,10,0,10,0,0,699,2662
0366F6963F6013B898BEDAC3A1C1E513FA1666692E21EEACD38428D2ED0BCD06,8,1,7,0,0,1112,4576
03C0233F22334F744700B7CD7DD603138A5008CD51C845EC7FEEF4AC491D13E3,3,2,1,0,0,852,3679
03F876A6096C01103ED5F6B0F0A215765995D0CF5BDB8AF56FAD5DEEEC956FD5,5,0,4,0,1,3037,14427
03FE94C3417EB08575160B6170AB76EF24600150B6BDFDB98A9A635F0AC491D1,6,5,0,1,0,1122,3316
040E122CDAA4FB4ED8567DAABDCA8F6DD7F8A258835B08BF243F9513E6E843E3,2,2,0,0,0,1410,4675
044E819DA32B079967C0FD4FD1BFC53CF803E8A714C2AFB3A0D033524768E0E5,1,1,0,0,0,1048,3216
0477C42256E2C7B842320A8E98599545D8D715FCCE62BDE0A9B7FC52AB3FA20C,3,3,0,0,0,1287,5603
0480930FB169D8B8F877C6F22173F1216A19BFABA16956BCBF42CB9A6B13B607,1,0,1,0,0,1712,6884
04C3B4B2A113EABBC8C0C667877F9245347C27FD8CCF7EF7A2BC1F907BE3557C,1,1,0,0,0,1102,4814
04ED9F3CE4B4F9708C8FF94AB1F1369745C37A483CCA6558755CA6006E938251,1,0,0,1,0,2714,10816
04FBCDC1331843648808BCA06D3FF7F34E796713E54DEBF57E7AA36387256028,3,3,0,0,0,615,2000
055C25EF66DABEC7E6DD78F2A26F48F7494A1AD14F995BA40D83151BFE5957E3,1,0,0,1,0,2344,8533
0572BC9E2DF11085045D4EAC2658D4EA9FAB08844075656DDCD41EEBCF5F3443,3,2,0,0,1,1833,9354
05D2495C48C9CB474678C1FF724279F2A86883625C1D62D1B5A059F927FD3587,57,7,4,2,44,971,3949
05FB282BC5CFC1937B98A192DFEBC09F7F55D26387117B10954910659CD5215D,1,1,0,0,0,1304,4843
061E9FD7D26118CFB2381A2F7FFF46CFBC237FAA4A9905B12A87DD23D5D41D0E,1,0,1,0,0,1345,5420
0633A889855B0BDB532B1518C5BED90164318BC6F4750A60713B820EC108EB52,1,1,0,0,0,722,2642
063C50C9F56C88E915264B9D602A304F8902F1FDD4D8D6815A0885F722A83F0F,2,0,0,0,2,604,2088
06529665D5C5B3A16E606B48F77F8F1C1F40E6D9189A0E404B782F8B364CF33E,7,0,7,0,0,1568,5329
068688B2339918A697F966CA8307B0D3B62E6E584C20E095F4BC94C7CB4580F7,2,0,0,2,0,1505,4819
0696BA946D499D0C6A964A1FDAE8802AEEA0A8B935767CA494B6926569A5930B,3,0,0,3,0,2923,13390
06BB5CC17C92C04721FCCDCE95958659A94B2891D194A1D7F9079F6FD3340500,3,0,0,3,0,2408,8223
06C4F6B6F0E7C01267218496F482CF415470229E768552FDEA499D64BA587634,2,0,0,2,0,1444,5487
